Data, Godzina pomiaru, Miasto, Temperatura, WilgodnoÅ›Ä‡, Opady
2020-08-20,9,WrocÅ‚aw,20.7,78.4,0.01
2020-08-20,9,Bydgoszcz,21.4,67.2,14.6
2020-08-20,9,ToruÅ„,21.3,40.3,0
2020-08-20,9,Lublin,23.2,58.1,1.5
2020-08-20,9,GorzÃ³w Wielkopolski,20.4,75.4,0.1
2020-08-20,9,Zielona GÃ³ra,22.5,68.3,0
2020-08-20,9,LÃ³dÅº,23.4,59.3,1.6
2020-08-20,9,KrakÃ³w,23,64.5,0
2020-08-20,9,Warszawa,23.4,52.3,0.8
2020-08-20,9,Opole,23.4,62.5,0
2020-08-20,9,RzeczÃ³w,8,99.3,46.2
2020-08-20,9,BiaÅ‚ystok,22.4,65.2,1.7
2020-08-20,9,GdaÅ„sk,21.3,84.8,0
2020-08-20,9,Katowice,24.2,44.1,0
2020-08-20,9,Kielce,21.4,75.5,0.2
2020-08-20,9,Olsztyn,24.3,46.3,0
2020-08-20,9,PoznaÅ„,21.7,68.6,0
2020-08-20,9,Szczecin,22.7,46.2,0

2020-08-20,12,WrocÅ‚aw,23.8,60.1,0.01
2020-08-20,12,Bydgoszcz,23.7,54.1,14.6
2020-08-20,12,ToruÅ„,25.2,28.3,0
2020-08-20,12,Lublin,25.9,46.9,1.5
2020-08-20,12,GorzÃ³w Wielkopolski,21.8,64.2,0.1
2020-08-20,12,Zielona GÃ³ra,22.4,67.4,0
2020-08-20,12,LÃ³dÅº,27.1,39.0,1.6
2020-08-20,12,KrakÃ³w,24,57.1,0
2020-08-20,12,Warszawa,26.3,44.0,0.8
2020-08-20,12,Opole,26.2,47.0,0
2020-08-20,12,RzeczÃ³w,10.9,89.1,46.2
2020-08-20,12,BiaÅ‚ystok,25.3,57.0,1.7
2020-08-20,12,GdaÅ„sk,25.7,59.3,0
2020-08-20,12,Katowice,25.2,44.1,0
2020-08-20,12,Kielce,25.7,40.2,0.2
2020-08-20,12,Olsztyn,27.4,35.1,0
2020-08-20,12,PoznaÅ„,21,67.6,0
2020-08-20,12,Szczecin,25.6,38.1,0

2020-08-20,13,WrocÅ‚aw,24.1,57.1,0.01
2020-08-20,13,Bydgoszcz,23.9,50.0,14.6
2020-08-20,13,ToruÅ„,25.5,28.3,0
2020-08-20,13,Lublin,25.6,45.9,1.5
2020-08-20,13,GorzÃ³w Wielkopolski,21.7,67.2,0.1
2020-08-20,13,Zielona GÃ³ra,22.2,70.5,0
2020-08-20,13,LÃ³dÅº,27.5,40.1,1.6
2020-08-20,13,KrakÃ³w,22.9,66.1,0
2020-08-20,13,Warszawa,26.3,42.0,0.8
2020-08-20,13,Opole,26.5,47.1,0
2020-08-20,13,RzeczÃ³w,11.8,75.6,46.2
2020-08-20,13,BiaÅ‚ystok,25.6,51.1,1.7
2020-08-20,13,GdaÅ„sk,24.8,61.1,0
2020-08-20,13,Katowice,26,40.0,0
2020-08-20,13,Kielce,26,39.2,0.2
2020-08-20,13,Olsztyn,28.1,35.9,0
2020-08-20,13,PoznaÅ„,21.4,64.2,0
2020-08-20,13,Szczecin,26.2,39.0,0

2020-08-20,15,WrocÅ‚aw,25,56.2,0.01
2020-08-20,15,Bydgoszcz,24.7,48.2,14.6
2020-08-20,15,ToruÅ„,26,29.3,0
2020-08-20,15,Lublin,25.8,42.2,1.5
2020-08-20,15,GorzÃ³w Wielkopolski,21.4,69.4,0.1
2020-08-20,15,Zielona GÃ³ra,21.4,80.6,0
2020-08-20,15,LÃ³dÅº,28.6,31.1,1.6
2020-08-20,15,KrakÃ³w,22.1,71.4,0
2020-08-20,15,Warszawa,26.6,44.1,0.8
2020-08-20,15,Opole,27.2,41.1,0
2020-08-20,15,RzeczÃ³w,13.6,75.4,46.2
2020-08-20,15,BiaÅ‚ystok,25.3,53.0,1.7
2020-08-20,15,GdaÅ„sk,23.5,73.4,0
2020-08-20,15,Katowice,25.7,40.2,0
2020-08-20,15,Kielce,26.5,37.0,0.2
